X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,Total Power
127.9439,264.9656,68.3481,521.757,443.6997,195.9648,166.7701,504.285,104.0226,205.2257,348.0209,137.9467,533.558,100.0089,389.6744,488.2309,516.6502,529.1131,386.1062,467.8025,17.4723,62.8902,220.7716,538.7139,82.3953,409.201,179.8697,26.1376,318.4538,229.8789,143.6402,256.6052,82808.443,84478.9266,85337.6466,95779.4395,106904.8274,95023.0517,85459.3768,92861.7375,84584.2549,89041.0312,87204.4296,97380.7385,94753.788,81677.9764,103129.6938,97196.8128,1463622.174
500.4677,278.6497,47.4062,417.3653,551.7083,401.1797,0,161.7773,368.1543,45.985,520.4714,566,219.715,45.0157,284.9714,202.886,26.0476,566,0,104.1045,0,335.7074,486.5247,566,566,258.2014,376.2201,477.4717,412.28,96.7684,90.1294,364.7503,94549.5866,84592.1988,99335.5046,98944.0386,106558.3642,95270.0791,85491.4365,83029.8436,91483.7433,93748.1139,99467.6415,95935.6597,84254.7876,93786.3095,94499.479,88941.7152,1489888.502
511.751,104.4383,566,380.4079,345.8587,0,90.5588,7.2899,566,566,566,313.0356,191.8169,200.6335,566,383.5991,566,135.7882,463.578,366.7474,447.0349,0,410.16,246.4883,0,208.0817,60.8637,566,48.4488,117.445,411.2962,566,93365.954,87177.9348,92796.2067,93302.0718,86885.5691,98117.0706,85523.9907,91309.1752,107598.5159,101897.2685,100876.0477,79350.0981,100060.2964,92733.9494,100646.9126,83394.8729,1495035.934
19.699,216.4378,355.296,67.8151,518.7256,72.1572,222.7933,223.9242,566,312.4474,511.7909,566,78.0924,226.1336,566,465.5424,0,566,447.2046,259.9073,566,320.6664,418.3566,351.0215,354.9378,566,391.7332,99.2301,0,137.3001,535.2882,566,94673.6571,79914.0696,87497.2497,97183.8129,82552.1357,85215.621,82243.3562,92083.6042,103182.5412,80688.8463,92306.419,106440.6778,102118.7041,99295.1266,96503.3818,77942.2947,1459841.498
0,0,243.342,0,566,0,198.4878,0,566,566,509.8984,285.704,144.3917,294.7953,399.9559,345.9918,380.3994,462.8946,566,566,0,0,234.3866,53.6411,546.4076,253.0758,0,53.9287,396.4652,0,0,10.9969,91653.0131,87877.8772,91913.3872,90373.6455,104290.2487,95057.3095,93021.4704,85602.1738,98370.5585,97148.3728,95775.0777,80723.593,95865.7812,88525.7698,94546.5417,85021.1027,1475765.923
446.6611,421.0366,493.1895,566,516.3773,566,566,474.817,566,0,299.7096,30.5458,0,170.8087,178.8432,187.1938,278.2215,0,551.9664,566,373.9421,313.9131,485.6295,433.9819,0,481.3123,0,566,0,6.0358,566,465.4973,96298.1717,100404.5528,83679.2669,92207.1053,92599.748,100063.6133,95091.533,89796.6317,106234.3463,86528.7448,97221.3296,80957.7402,95689.2702,95590.0073,85799.2132,88227.3054,1486388.58
398.0662,0,172.95,480.6902,566,566,257.4459,67.4326,5.4764,566,0,62.1571,143.9684,566,236.2575,341.5666,102.6265,484.4441,7.9433,0,320.2722,26.7175,566,540.0883,349.5919,213.1047,0,0,566,566,503.7899,116.725,96459.8888,88298.7327,96742.7627,100203.9478,96113.6931,103772.3175,88832.768,79480.0019,96221.418,98420.3172,87790.1305,91697.7289,79287.6048,98627.4586,96138.3138,85804.8939,1483891.978
113.7286,341.2415,418.0059,0,566,566,566,0,0,566,68.0914,463.0868,140.684,18.4887,220.1713,273.2086,566,0,270.9991,503.3479,0,89.0062,509.5509,566,287.7841,566,334.3373,54.4844,0,206.8418,396.798,566,85593.1906,97798.4061,100432.9867,88470.0383,106896.0821,99805.4635,100886.8656,81354.8114,88528.1338,94011.9386,87192.1176,92168.733,96673.033,98932.3657,93486.0155,90452.2884,1502682.47
0,0,0,557.9507,0,566,530.5327,566,461.614,495.1422,243.7463,515.1805,337.0039,149.3637,432.7603,375.4085,216.9741,566,424.6422,405.3143,323.5063,160.0276,0,566,566,420.6266,566,566,58.6311,255.0382,0,566,95101.7359,86156.4572,90658.64,101350.612,91423.8016,100807.4185,105613.6648,95084.2254,80495.503,90902.2819,81856.1863,83784.434,94287.5091,99164.9526,99725.2615,81533.213,1477945.897
369.2071,304.0515,566,164.3125,552.6091,557.8421,437.3143,395.9587,417.7882,0,0,198.0035,121.6725,169.035,225.884,12.7346,0,476.0819,0,503.4461,566,447.1827,53.9382,566,484.8547,0,566,566,566,0,362.2357,269.9263,99039.5217,87250.7669,106662.4286,84203.8911,96907.625,101850.6926,95696.1749,85626.0463,91383.5553,96004.3561,81727.5769,79232.38,77438.8203,97796.5697,98025.2705,97873.2116,1476718.888
39.8478,231.8411,176.4778,0,566,0,566,202.1302,566,291.1011,0,511.6552,566,113.6815,566,0,512.7862,177.8265,85.638,566,0,6.2889,305.5369,0,566,529.326,136.871,502.9318,117.4366,130.5829,168.2698,376.7318,89711.9546,87922.7833,95362.8344,84877.2098,106314.2702,95794.8635,98610.5005,101353.2813,94817.8743,90194.2635,84848.8223,97359.1886,104631.8747,83346.8906,96622.4424,92283.2428,1504052.297
439.0358,0,351.0706,88.6103,234.7907,376.909,219.0969,0,439.7996,96.4589,142.6168,566,566,373.7802,0,566,0,166.1855,433.2627,161.0268,0,251.8493,225.1376,444.985,320.5954,566,75.0714,105.2349,0,133.5557,0,209.6334,100073.1407,81427.5099,92336.9086,82799.0474,98070.4636,88172.035,81504.5976,91060.6758,90370.8319,92132.7495,88880.615,100951.2561,106383.1278,90929.6166,95019.6368,97485.6874,1477597.9
50.0986,158.5143,0,81.2541,384.7501,288.6702,566,143.4557,253.6225,226.9321,361.9852,166.9741,428.8406,0,566,145.3119,267.6317,0,95.3695,386.4411,502.2708,150.5947,170.6195,82.6307,74.4693,318.7432,248.4082,196.0603,220.6709,500.4851,477.0912,315.2093,80797.4505,104527.9523,88000.59,83036.9979,87875.0323,91814.9597,105107.0761,91624.6744,102434.2424,85515.8701,84519.8258,84916.1488,94782.4494,91707.4225,96508.499,79568.9879,1452738.179
272.5004,58.2679,517.6561,203.558,400.9705,233.5721,343.5238,448.9269,566,384.1273,0,8.8258,50.0228,25.607,322.8331,452.37,430.9504,335.5349,355.425,359.0853,566,97.8221,566,172.8296,566,476.3891,414.199,474.6892,243.3098,0,510.6297,0,87818.2895,88270.2852,101237.2568,93774.1869,84183.8951,99530.1555,74005.974,103431.7186,98050.179,94212.734,83418.3934,78350.465,97476.7396,101777.6374,78237.8073,106174.438,1469950.155
413.7988,303.9202,22.4988,378.1259,299.4577,0,166.9406,406.6805,227.4563,98.1779,554.8634,565.9905,287.0222,351.3551,272.285,336.3442,0,566,459.4906,39.7956,279.6497,558.41,566,484.0269,379.7863,167.2449,566,0,203.2736,291.2704,322.1793,389.5869,101567.0102,88489.8104,85587.5259,91091.1124,89680.2689,84463.494,84115.129,90865.6381,82567.6294,95282.2284,96175.7805,106269.8906,103307.4848,95235.5947,82255.4552,92050.842,1469004.895
566,0,543.3381,90.9176,0,177.529,330.0928,198.6947,488.9662,430.1087,81.4232,0,566,383.2987,206.4346,333.632,364.9485,474.1938,117.6621,83.7941,211.1549,505.3332,0,36.296,311.6497,485.0357,415.6948,407.424,0,264.7169,566,160.4358,95858.3958,78274.8252,102301.2894,91144.3485,91042.1084,86391.4291,101989.8918,96372.9811,93748.3246,95359.1316,88566.7627,84645.0688,106611.7994,90909.0343,84858.4997,96252.5069,1484326.398
97.9184,232.2505,437.7537,208.1799,475.7416,282.2844,376.7287,436.8345,148.2702,0,320.8481,0,498.8091,242.9496,442.1999,90.1127,566,0,518.8674,566,169.4101,77.4148,87.7436,434.6742,566,531.0928,204.5899,206.9354,230.4965,341.328,357.7334,411.0345,75993.1962,105721.1781,94906.4192,87604.9376,102199.2327,92674.3527,102318.2343,96283.7346,78459.242,82091.0219,90720.5093,91608.3197,95747.6088,89348.8306,97586.9676,86696.3921,1469960.177
566,46.2625,566,234.5561,378.1567,500.1392,58.1085,291.7713,0,165.943,238.5447,202.3638,6.8687,367.0209,110.7938,229.9313,388.9412,171.0561,550.1645,428.0692,0,549.6097,44.1894,360.9375,299.3842,50.0587,0,234.937,0,506.739,459.5497,167.0886,100032.4038,88768.9077,94929.7343,85233.22,106222.0937,84968.9261,88393.1107,93586.2272,86851.3713,93732.6793,101975.184,92566.3165,95196.9274,85831.9544,80796.1302,96413.1221,1475498.309
221.7172,0,266.1411,311.2087,313.7362,325.1556,114.1599,394.4508,138.8252,124.3744,137.7065,313.0765,94.1634,191.535,87.2716,360.6164,58.331,15.9958,566,175.0911,262.2848,462.3341,281.038,191.1608,413.3566,88.6381,34.9172,0,202.5561,566,566,566,98207.98,93459.729,85776.1838,91333.0951,89448.6233,96238.1765,86188.0892,98767.389,92535.1655,82984.9378,95147.3947,107129.3449,88152.6907,81285.952,82771.0387,93959.4097,1463385.2
566,1.8082,449.6702,533.8716,152.0303,393.4919,305.0883,249.9734,94.7061,3.6359,509.678,414.9073,536.9788,304.3852,335.5733,307.7766,356.4987,272.5922,370.8673,443.4103,496.807,397.391,221.3947,217.6225,566,477.9483,0,179.5042,566,373.3371,566,286.9552,101059.0607,89529.6714,90318.9787,92672.7623,84071.8773,77232.0542,96364.2705,89477.4792,81070.7766,82891.4554,106313.5952,107105.0806,93097.1785,83182.8429,87275.4101,89331.9337,1450994.427
566,215.3939,190.1371,325.2407,356.7564,361.0097,358.7565,111.7556,131.2944,35.0898,480.3432,170.5581,386.1524,383.7155,214.7009,289.0999,395.2849,29.9016,239.6349,256.8391,49.4059,566,187.3151,104.6568,566,566,64.5644,301.9582,419.006,520.7639,566,329.6139,98353.0539,99585.5079,87119.1209,95224.8158,100187.1139,88614.5386,99315.5153,93212.6954,81911.5357,82654.7262,105290.1819,81541.2869,88620.2956,94097.6922,84958.4705,88501.2513,1469187.802
452.9587,141.1192,161.1055,0,566,434.8355,294.3602,35.0337,0,214.5386,391.0932,358.2349,140.4496,427.4241,256.0641,376.9449,156.5028,206.0196,413.2187,330.0586,383.7732,340.1957,0,55.9299,246.7724,288.8903,0,264.9474,349.4697,224.3748,363.5636,468.8951,101793.4088,90601.6303,73012.2251,76782.2652,96885.8025,90971.7187,99685.2802,97646.5533,84332.623,83937.3725,106007.3806,89545.0744,76199.8998,99279.3703,80554.8201,86723.2703,1433958.695
